Band, Description, Range (nm)
1, Blue, 450-520
2, Green, 520-600
3, Red, 630-690
4, Near-Infrared, 760-900
5, Short Wavelength Infrared 1, 1550-1750
6, Thermal Infrared, 10400-12500
7, Short Wavelength Infrared 2, 2080-2350
